image_path,relative_image_path,family,category,split,text,source_font_path,seed,sample_path
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0000.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0000.png,EB Garamond Initials,display,train,Graphic Form,/usr/share/fonts/opentype/ebgaramond/EBGaramond-Initials.otf,42000126,data/sample/display__EB_Garamond_Initials_0000.png
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0001.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0001.png,EB Garamond Initials,display,train,Hello World,/usr/share/fonts/opentype/ebgaramond/EBGaramond-Initials.otf,42000127,data/sample/display__EB_Garamond_Initials_0001.png
data/processed/fontsense_system/images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0002.png,images/train/display/EB_Garamond_Initials/EB_Garamond_Initials_0002.png,EB Garamond Initials,display,train,Type Matters,/usr/share/fonts/opentype/ebgaramond/EBGaramond-Initials.otf,42000128,data/sample/display__EB_Garamond_Initials_0002.png
data/processed/fontsense_system/images/train/handwriting/UnPilgi/UnPilgi_0000.png,images/train/handwriting/UnPilgi/UnPilgi_0000.png,UnPilgi,handwriting,train,Digital Poster,/usr/share/fonts/truetype/unfonts-core/UnPilgi.ttf,42100196,data/sample/handwriting__UnPilgi_0000.png
data/processed/fontsense_system/images/train/handwriting/UnPilgi/UnPilgi_0001.png,images/train/handwriting/UnPilgi/UnPilgi_0001.png,UnPilgi,handwriting,train,Shape and Space,/usr/share/fonts/truetype/unfonts-core/UnPilgi.ttf,42100197,data/sample/handwriting__UnPilgi_0001.png
data/processed/fontsense_system/images/train/handwriting/UnPilgi/UnPilgi_0002.png,images/train/handwriting/UnPilgi/UnPilgi_0002.png,UnPilgi,handwriting,train,Future Vision,/usr/share/fonts/truetype/unfonts-core/UnPilgi.ttf,42100198,data/sample/handwriting__UnPilgi_0002.png
data/processed/fontsense_system/images/train/monospace/PT_Mono/PT_Mono_0000.png,images/train/monospace/PT_Mono/PT_Mono_0000.png,PT Mono,monospace,train,Shape and Space,/usr/share/fonts/truetype/paratype/PTM55F.ttf,42190259,data/sample/monospace__PT_Mono_0000.png
data/processed/fontsense_system/images/train/monospace/PT_Mono/PT_Mono_0001.png,images/train/monospace/PT_Mono/PT_Mono_0001.png,PT Mono,monospace,train,FontSense,/usr/share/fonts/truetype/paratype/PTM55F.ttf,42190260,data/sample/monospace__PT_Mono_0001.png
data/processed/fontsense_system/images/train/monospace/PT_Mono/PT_Mono_0002.png,images/train/monospace/PT_Mono/PT_Mono_0002.png,PT Mono,monospace,train,FontSense,/usr/share/fonts/truetype/paratype/PTM55F.ttf,42190261,data/sample/monospace__PT_Mono_0002.png
data/processed/fontsense_system/images/train/sans_serif/PT_Sans/PT_Sans_0000.png,images/train/sans_serif/PT_Sans/PT_Sans_0000.png,PT Sans,sans_serif,train,FontSense,/usr/share/fonts/truetype/paratype/PTS55F.ttf,42280322,data/sample/sans_serif__PT_Sans_0000.png
data/processed/fontsense_system/images/train/sans_serif/PT_Sans/PT_Sans_0001.png,images/train/sans_serif/PT_Sans/PT_Sans_0001.png,PT Sans,sans_serif,train,Typography,/usr/share/fonts/truetype/paratype/PTS55F.ttf,42280323,data/sample/sans_serif__PT_Sans_0001.png
data/processed/fontsense_system/images/train/sans_serif/PT_Sans/PT_Sans_0002.png,images/train/sans_serif/PT_Sans/PT_Sans_0002.png,PT Sans,sans_serif,train,Typography,/usr/share/fonts/truetype/paratype/PTS55F.ttf,42280324,data/sample/sans_serif__PT_Sans_0002.png
data/processed/fontsense_system/images/train/serif/DejaVu_Serif/DejaVu_Serif_0000.png,images/train/serif/DejaVu_Serif/DejaVu_Serif_0000.png,DejaVu Serif,serif,train,Modern Design,/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf,42380392,data/sample/serif__DejaVu_Serif_0000.png
data/processed/fontsense_system/images/train/serif/DejaVu_Serif/DejaVu_Serif_0001.png,images/train/serif/DejaVu_Serif/DejaVu_Serif_0001.png,DejaVu Serif,serif,train,Creative Studio,/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf,42380393,data/sample/serif__DejaVu_Serif_0001.png
data/processed/fontsense_system/images/train/serif/DejaVu_Serif/DejaVu_Serif_0002.png,images/train/serif/DejaVu_Serif/DejaVu_Serif_0002.png,DejaVu Serif,serif,train,Modern Design,/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf,42380394,data/sample/serif__DejaVu_Serif_0002.png
