image_path,family,category,split,rendered_text,font_file,applied_effects,seed,preview_index
data/processed/fontsense_preview/images/train/serif/Alegreya/Alegreya_00.png,Alegreya,serif,train,Simple Text,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,"{""background"": ""light"", ""blur_radius"": null, ""font_size"": 37, ""jpeg_quality"": null, ""letter_spacing_px"": 2, ""rotation_degrees"": 0.121}",42000126,0
data/processed/fontsense_preview/images/train/serif/Alegreya/Alegreya_01.png,Alegreya,serif,train,Quiet Words,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,"{""background"": ""light"", ""blur_radius"": null, ""font_size"": 34, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""rotation_degrees"": 1.424}",42000127,1
data/processed/fontsense_preview/images/train/serif/Bree_Serif/Bree_Serif_00.png,Bree Serif,serif,train,Fresh Lines,data/raw/fonts/google_fonts/serif/Bree_Serif__BreeSerif-Regular.ttf,"{""background"": ""light"", ""blur_radius"": 0.225, ""font_size"": 36, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""rotation_degrees"": -1.374}",42010133,0
data/processed/fontsense_preview/images/train/serif/Bree_Serif/Bree_Serif_01.png,Bree Serif,serif,train,Bright Idea,data/raw/fonts/google_fonts/serif/Bree_Serif__BreeSerif-Regular.ttf,"{""background"": ""light"", ""blur_radius"": null, ""font_size"": 38, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""rotation_degrees"": -1.337}",42010134,1
data/processed/fontsense_preview/images/train/serif/Crimson_Pro/Crimson_Pro_00.png,Crimson Pro,serif,train,Hello World,data/raw/fonts/google_fonts/serif/Crimson_Pro__CrimsonPro[wght].ttf,"{""background"": ""dark"", ""blur_radius"": null, ""font_size"": 36, ""jpeg_quality"": 90, ""letter_spacing_px"": 2, ""rotation_degrees"": 0.648}",42020140,0
data/processed/fontsense_preview/images/train/serif/Crimson_Pro/Crimson_Pro_01.png,Crimson Pro,serif,train,Open Source,data/raw/fonts/google_fonts/serif/Crimson_Pro__CrimsonPro[wght].ttf,"{""background"": ""light"", ""blur_radius"": 0.336, ""font_size"": 36, ""jpeg_quality"": null, ""letter_spacing_px"": 2, ""rotation_degrees"": -1.464}",42020141,1
data/processed/fontsense_preview/images/train/serif/Domine/Domine_00.png,Domine,serif,train,Hello World,data/raw/fonts/google_fonts/serif/Domine__Domine[wght].ttf,"{""background"": ""light"", ""blur_radius"": 0.287, ""font_size"": 34, ""jpeg_quality"": 83, ""letter_spacing_px"": 0, ""rotation_degrees"": -0.526}",42030147,0
data/processed/fontsense_preview/images/train/serif/Domine/Domine_01.png,Domine,serif,train,Bold Shapes,data/raw/fonts/google_fonts/serif/Domine__Domine[wght].ttf,"{""background"": ""light"", ""blur_radius"": null, ""font_size"": 30, ""jpeg_quality"": null, ""letter_spacing_px"": 2, ""rotation_degrees"": 1.197}",42030148,1
data/processed/fontsense_preview/images/train/serif/Frank_Ruhl_Libre/Frank_Ruhl_Libre_00.png,Frank Ruhl Libre,serif,train,Visual Story,data/raw/fonts/google_fonts/serif/Frank_Ruhl_Libre__FrankRuhlLibre[wght].ttf,"{""background"": ""light"", ""blur_radius"": null, ""font_size"": 38, ""jpeg_quality"": null, ""letter_spacing_px"": 0, ""rotation_degrees"": -0.641}",42040154,0
data/processed/fontsense_preview/images/train/serif/Frank_Ruhl_Libre/Frank_Ruhl_Libre_01.png,Frank Ruhl Libre,serif,train,Daily Notes,data/raw/fonts/google_fonts/serif/Frank_Ruhl_Libre__FrankRuhlLibre[wght].ttf,"{""background"": ""light"", ""blur_radius"": null, ""font_size"": 37, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""rotation_degrees"": -0.934}",42040155,1
data/processed/fontsense_preview/images/train/serif/Gentium_Book_Plus/Gentium_Book_Plus_00.png,Gentium Book Plus,serif,train,Bold Shapes,data/raw/fonts/google_fonts/serif/Gentium_Book_Plus__GentiumBookPlus-Regular.ttf,"{""background"": ""dark"", ""blur_radius"": null, ""font_size"": 36, ""jpeg_quality"": 81, ""letter_spacing_px"": 1, ""rotation_degrees"": 0.874}",42050161,0
data/processed/fontsense_preview/images/train/serif/Gentium_Book_Plus/Gentium_Book_Plus_01.png,Gentium Book Plus,serif,train,Smart Layout,data/raw/fonts/google_fonts/serif/Gentium_Book_Plus__GentiumBookPlus-Regular.ttf,"{""background"": ""light"", ""blur_radius"": 0.341, ""font_size"": 33, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""rotation_degrees"": 0.473}",42050162,1
data/processed/fontsense_preview/images/train/serif/Newsreader/Newsreader_00.png,Newsreader,serif,train,Quiet Words,"data/raw/fonts/google_fonts/serif/Newsreader__Newsreader[opsz,wght].ttf","{""background"": ""light"", ""blur_radius"": null, ""font_size"": 38, ""jpeg_quality"": null, ""letter_spacing_px"": 0, ""rotation_degrees"": -1.234}",42060168,0
data/processed/fontsense_preview/images/train/serif/Newsreader/Newsreader_01.png,Newsreader,serif,train,Fresh Lines,"data/raw/fonts/google_fonts/serif/Newsreader__Newsreader[opsz,wght].ttf","{""background"": ""light"", ""blur_radius"": 0.312, ""font_size"": 37, ""jpeg_quality"": null, ""letter_spacing_px"": 2, ""rotation_degrees"": -0.295}",42060169,1
data/processed/fontsense_preview/images/train/serif/Noto_Serif/Noto_Serif_00.png,Noto Serif,serif,train,Hello World,"data/raw/fonts/google_fonts/serif/Noto_Serif__NotoSerif[wdth,wght].ttf","{""background"": ""dark"", ""blur_radius"": null, ""font_size"": 31, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""rotation_degrees"": -1.154}",42070175,0
data/processed/fontsense_preview/images/train/serif/Noto_Serif/Noto_Serif_01.png,Noto Serif,serif,train,Creative Work,"data/raw/fonts/google_fonts/serif/Noto_Serif__NotoSerif[wdth,wght].ttf","{""background"": ""light"", ""blur_radius"": null, ""font_size"": 28, ""jpeg_quality"": 85, ""letter_spacing_px"": 0, ""rotation_degrees"": 0.94}",42070176,1
data/processed/fontsense_preview/images/train/serif/Playfair_Display/Playfair_Display_00.png,Playfair Display,serif,train,Modern Type,data/raw/fonts/google_fonts/serif/Playfair_Display__PlayfairDisplay[wght].ttf,"{""background"": ""light"", ""blur_radius"": null, ""font_size"": 33, ""jpeg_quality"": null, ""letter_spacing_px"": 0, ""rotation_degrees"": 1.406}",42080182,0
data/processed/fontsense_preview/images/train/serif/Playfair_Display/Playfair_Display_01.png,Playfair Display,serif,train,Clear Design,data/raw/fonts/google_fonts/serif/Playfair_Display__PlayfairDisplay[wght].ttf,"{""background"": ""dark"", ""blur_radius"": null, ""font_size"": 32, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""rotation_degrees"": -0.412}",42080183,1
data/processed/fontsense_preview/images/train/serif/Roboto_Slab/Roboto_Slab_00.png,Roboto Slab,serif,train,Daily Notes,data/raw/fonts/google_fonts/serif/Roboto_Slab__RobotoSlab[wght].ttf,"{""background"": ""light"", ""blur_radius"": 0.217, ""font_size"": 32, ""jpeg_quality"": 89, ""letter_spacing_px"": 0, ""rotation_degrees"": -0.138}",42090189,0
