image_path,relative_image_path,family,category,split,text,source_font_path,seed,predicted_category,confidence,uncertain,inference_ms
data/processed/fontsense_system/images/test/display/Baekmuk_Headline/Baekmuk_Headline_0005.png,images/test/display/Baekmuk_Headline/Baekmuk_Headline_0005.png,Baekmuk Headline,display,test,Design System,hline.ttf,42090194,monospace,0.8090154587530322,False,1.6019319996303238
data/processed/fontsense_system/images/test/handwriting/Comic_Neue/Comic_Neue_0001.png,images/test/handwriting/Comic_Neue/Comic_Neue_0001.png,Comic Neue,handwriting,test,Graphic Form,ComicNeue-Regular.otf,42180253,sans_serif,0.797616099520316,False,1.703936000012618
data/processed/fontsense_system/images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0019.png,images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0019.png,Linux Libertine Display O,display,test,Graphic Form,LinLibertine_DR.otf,42080201,serif,0.7956020635127198,False,1.874734000011813
data/processed/fontsense_system/images/test/display/Baekmuk_Headline/Baekmuk_Headline_0019.png,images/test/display/Baekmuk_Headline/Baekmuk_Headline_0019.png,Baekmuk Headline,display,test,Hello World,hline.ttf,42090208,sans_serif,0.7741235823863412,False,1.8847910000658885
data/processed/fontsense_system/images/test/display/Baekmuk_Headline/Baekmuk_Headline_0014.png,images/test/display/Baekmuk_Headline/Baekmuk_Headline_0014.png,Baekmuk Headline,display,test,Beautiful Letters,hline.ttf,42090203,monospace,0.7721425114638779,False,2.018576999944344
data/processed/fontsense_system/images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0010.png,images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0010.png,Linux Libertine Display O,display,test,Brand Identity,LinLibertine_DR.otf,42080192,serif,0.7710477757582483,False,1.512258000275324
data/processed/fontsense_system/images/test/display/Baekmuk_Headline/Baekmuk_Headline_0001.png,images/test/display/Baekmuk_Headline/Baekmuk_Headline_0001.png,Baekmuk Headline,display,test,Brand Identity,hline.ttf,42090190,sans_serif,0.7609578658887717,False,1.7061409998859745
data/processed/fontsense_system/images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0018.png,images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0018.png,Linux Libertine Display O,display,test,Visual Culture,LinLibertine_DR.otf,42080200,serif,0.7412534492777606,False,1.787630000308127
data/processed/fontsense_system/images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0012.png,images/test/display/Linux_Libertine_Display_O/Linux_Libertine_Display_O_0012.png,Linux Libertine Display O,display,test,Beautiful Letters,LinLibertine_DR.otf,42080194,serif,0.7409729306078231,False,1.803351000035036
data/processed/fontsense_system/images/test/sans_serif/Cantarell/Cantarell_0015.png,images/test/sans_serif/Cantarell/Cantarell_0015.png,Cantarell,sans_serif,test,Design System,Cantarell-VF.otf,42370400,display,0.7373154503742964,False,1.7459799996686345
